"","City","State","Income","Year","MSA"
"1","Atlanta","Georgia",83251,2022,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"2","Atlanta","Georgia",50210,2015,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"3","Atlanta","Georgia",65345,2018,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"4","Atlanta","Georgia",46485,2013,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"5","Atlanta","Georgia",46466,2012,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"6","Atlanta","Georgia",53843,2016,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"7","Atlanta","Georgia",57597,2017,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"8","Atlanta","Georgia",66657,2019,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"9","Atlanta","Georgia",46777,2014,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"10","Atlanta","Georgia",41631,2010,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"11","Atlanta","Georgia",43903,2011,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"12","Atlanta","Georgia",74107,2021,"Atlanta-Sandy Springs-Alpharetta, GA MSA"
"13","Austin","Texas",79542,2021,"Austin-Round Rock-Georgetown, TX MSA"
"14","Austin","Texas",58458,2014,"Austin-Round Rock-Georgetown, TX MSA"
"15","Austin","Texas",49987,2011,"Austin-Round Rock-Georgetown, TX MSA"
"16","Austin","Texas",56351,2013,"Austin-Round Rock-Georgetown, TX MSA"
"17","Austin","Texas",75413,2019,"Austin-Round Rock-Georgetown, TX MSA"
"18","Austin","Texas",62250,2015,"Austin-Round Rock-Georgetown, TX MSA"
"19","Austin","Texas",52453,2012,"Austin-Round Rock-Georgetown, TX MSA"
"20","Austin","Texas",67755,2017,"Austin-Round Rock-Georgetown, TX MSA"
"21","Austin","Texas",71543,2018,"Austin-Round Rock-Georgetown, TX MSA"
"22","Austin","Texas",47434,2010,"Austin-Round Rock-Georgetown, TX MSA"
"23","Austin","Texas",89415,2022,"Austin-Round Rock-Georgetown, TX MSA"
"24","Austin","Texas",66697,2016,"Austin-Round Rock-Georgetown, TX MSA"
"25","Baltimore","Maryland",42665,2014,"Baltimore-Columbia-Towson, MD MSA"
"26","Baltimore","Maryland",47350,2016,"Baltimore-Columbia-Towson, MD MSA"
"27","Baltimore","Maryland",38346,2010,"Baltimore-Columbia-Towson, MD MSA"
"28","Baltimore","Maryland",42266,2013,"Baltimore-Columbia-Towson, MD MSA"
"29","Baltimore","Maryland",39241,2012,"Baltimore-Columbia-Towson, MD MSA"
"30","Baltimore","Maryland",50177,2019,"Baltimore-Columbia-Towson, MD MSA"
"31","Baltimore","Maryland",55198,2022,"Baltimore-Columbia-Towson, MD MSA"
"32","Baltimore","Maryland",51000,2018,"Baltimore-Columbia-Towson, MD MSA"
"33","Baltimore","Maryland",47131,2017,"Baltimore-Columbia-Towson, MD MSA"
"34","Baltimore","Maryland",44165,2015,"Baltimore-Columbia-Towson, MD MSA"
"35","Baltimore","Maryland",54652,2021,"Baltimore-Columbia-Towson, MD MSA"
"36","Baltimore","Maryland",38721,2011,"Baltimore-Columbia-Towson, MD MSA"
"37","Birmingham","Alabama",31152,2013,"Birmingham-Hoover, AL MSA"
"38","Birmingham","Alabama",36614,2021,"Birmingham-Hoover, AL MSA"
"39","Birmingham","Alabama",36395,2018,"Birmingham-Hoover, AL MSA"
"40","Birmingham","Alabama",39326,2022,"Birmingham-Hoover, AL MSA"
"41","Birmingham","Alabama",30212,2010,"Birmingham-Hoover, AL MSA"
"42","Birmingham","Alabama",36753,2019,"Birmingham-Hoover, AL MSA"
"43","Birmingham","Alabama",32378,2015,"Birmingham-Hoover, AL MSA"
"44","Birmingham","Alabama",28646,2011,"Birmingham-Hoover, AL MSA"
"45","Birmingham","Alabama",36241,2016,"Birmingham-Hoover, AL MSA"
"46","Birmingham","Alabama",33553,2017,"Birmingham-Hoover, AL MSA"
"47","Birmingham","Alabama",30701,2012,"Birmingham-Hoover, AL MSA"
"48","Birmingham","Alabama",30043,2014,"Birmingham-Hoover, AL MSA"
"49","Boston","Massachusetts",71834,2018,"Boston-Cambridge-Newton, MA-NH MSA"
"50","Boston","Massachusetts",86331,2022,"Boston-Cambridge-Newton, MA-NH MSA"
"51","Boston","Massachusetts",53583,2013,"Boston-Cambridge-Newton, MA-NH MSA"
"52","Boston","Massachusetts",49893,2010,"Boston-Cambridge-Newton, MA-NH MSA"
"53","Boston","Massachusetts",66758,2017,"Boston-Cambridge-Newton, MA-NH MSA"
"54","Boston","Massachusetts",51642,2012,"Boston-Cambridge-Newton, MA-NH MSA"
"55","Boston","Massachusetts",79283,2021,"Boston-Cambridge-Newton, MA-NH MSA"
"56","Boston","Massachusetts",58263,2015,"Boston-Cambridge-Newton, MA-NH MSA"
"57","Boston","Massachusetts",63621,2016,"Boston-Cambridge-Newton, MA-NH MSA"
"58","Boston","Massachusetts",79018,2019,"Boston-Cambridge-Newton, MA-NH MSA"
"59","Boston","Massachusetts",56902,2014,"Boston-Cambridge-Newton, MA-NH MSA"
"60","Boston","Massachusetts",49081,2011,"Boston-Cambridge-Newton, MA-NH MSA"
"61","Buffalo","New York",34814,2017,"Buffalo-Cheektowaga, NY MSA"
"62","Buffalo","New York",32509,2015,"Buffalo-Cheektowaga, NY MSA"
"63","Buffalo","New York",30422,2012,"Buffalo-Cheektowaga, NY MSA"
"64","Buffalo","New York",28490,2010,"Buffalo-Cheektowaga, NY MSA"
"65","Buffalo","New York",32392,2013,"Buffalo-Cheektowaga, NY MSA"
"66","Buffalo","New York",40669,2021,"Buffalo-Cheektowaga, NY MSA"
"67","Buffalo","New York",32883,2016,"Buffalo-Cheektowaga, NY MSA"
"68","Buffalo","New York",37359,2018,"Buffalo-Cheektowaga, NY MSA"
"69","Buffalo","New York",40843,2019,"Buffalo-Cheektowaga, NY MSA"
"70","Buffalo","New York",29158,2011,"Buffalo-Cheektowaga, NY MSA"
